"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "PostCSS", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/generateRoadmap.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 11, 41
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/messages.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 15, 12, 83
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/payments.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 3, 11, 77
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/psychometric.js", "JavaScript", 355, 0, 0, 0, 0, 0, 0, 0, 45, 81, 481
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/recommendationRoutes.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 50, 33, 248
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/resume.routes.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/shikharsingh/Desktop/careercounselling copy/server/routes/users.js", "JavaScript", 206, 0, 0, 0, 0, 0, 0, 0, 18, 55, 279
"/Users/shikharsingh/Desktop/careercounselling copy/server/services/gemini.service.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/shikharsingh/Desktop/careercounselling copy/server/services/message.service.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 15, 8, 95
"/Users/shikharsingh/Desktop/careercounselling copy/server/socket/socket.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 8, 12, 84
"/Users/shikharsingh/Desktop/careercounselling copy/server/utils/academicResolver.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/shikharsingh/Desktop/careercounselling copy/server/utils/domainResolver.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/Users/shikharsingh/Desktop/careercounselling copy/server/utils/eligibilityGate.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 9, 37
"/Users/shikharsingh/Desktop/careercounselling copy/server/utils/recommendationHelpers.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 62, 43, 247
"Total", "-", 2685, 11695, 2, 11815, 246, 16, 7, 13, 3842, 2164, 32485
